query	recent_clicks	prior_clicks	click_delta	recent_impressions	prior_impressions	impression_delta	recent_ctr	prior_ctr	recent_position	prior_position
skinny fat to muscular	0	0	0	14	6	8	0.0	0.0	8.571428571428571	11.333333333333334
skinny fat woman	0	0	0	5	82	-77	0.0	0.0	6.2	7.780487804878049
skinny fat women	0	0	0	6	23	-17	0.0	0.0	6.333333333333333	8.869565217391305
spren	0	0	0	13	18	-5	0.0	0.0	10.538461538461538	8.944444444444445
spren app	2	0	2	27	20	7	0.07407407407407407	0.0	5.444444444444445	5.3
thelo app cost	0	0	0	11	3	8	0.0	0.0	5.454545454545454	5.333333333333333
thelo app reviews	0	0	0	21	5	16	0.0	0.0	7.095238095238095	6.2
trackbod	0	0	0	2	16	-14	0.0	0.0	8.5	7.625
transformation app	0	1	-1	18	18	0	0.0	0.05555555555555555	3.388888888888889	7.111111111111111
visceral fat analyzer	0	0	0	16	2	14	0.0	0.0	33.6875	36.0
visceral fat scale	0	0	0	9	13	-4	0.0	0.0	35.111111111111114	35.15384615384615
visceral fat scan	0	0	0	11	7	4	0.0	0.0	52.18181818181818	50.142857142857146
visual estimation body fat percentage from photographs accuracy study	0	0	0	12	3	9	0.0	0.0	7.25	7.0
visual estimation body fat percentage photographs accuracy study	0	0	0	18	2	16	0.0	0.0	8.055555555555555	6.5
waist 35 is what size women's	0	0	0	2	12	-10	0.0	0.0	3.0	5.5
waist and height	0	0	0	12	0	12	0.0	0.0	36.333333333333336	
waist chest ratio	0	0	0	13	5	8	0.0	0.0	8.461538461538462	4.4
waist measurement women	0	0	0	6	10	-4	0.0	0.0	71.5	65.9
waist size	0	0	0	14	9	5	0.0	0.0	56.357142857142854	47.44444444444444
waist to chest ratio	1	0	1	38	12	26	0.02631578947368421	0.0	4.842105263157895	6.166666666666667
waist to chest ratio male	0	0	0	23	11	12	0.0	0.0	9.08695652173913	11.181818181818182
waist to height ratio	0	0	0	11	0	11	0.0	0.0	35.09090909090909	
waist to height ratio chart	0	0	0	16	0	16	0.0	0.0	10.125	
waist to shoulder ratio	0	0	0	52	0	52	0.0	0.0	9.057692307692308	
waist to shoulder ratio men	0	0	0	10	0	10	0.0	0.0	11.0	
waist-to-height ratio chart	0	0	0	21	0	21	0.0	0.0	16.333333333333336	
what does 18 body fat look like on a man	0	0	0	0	15	-15	0.0	0.0		9.2
what does 25 body fat look like on a man	0	0	0	0	21	-21	0.0	0.0		9.714285714285714
what is spren	0	0	0	10	9	1	0.0	0.0	10.9	9.444444444444445
what is the average bodyfat percentage for females? question 87 options: 20 to 27 percent 25 to 31 percent 17 to 25 percent 14 to 19 percent	0	0	0	0	21	-21	0.0	0.0		8.095238095238095
what is the average hip size for a woman	0	0	0	0	23	-23	0.0	0.0		4.826086956521739
what is the average waist size for a woman	0	0	0	8	18	-10	0.0	0.0	13.375	8.333333333333332
what is the best ai personal trainer app?	0	0	0	11	8	3	0.0	0.0	6.636363636363637	10.125
what is the best app for beginners to track body changes?	0	0	0	13	14	-1	0.0	0.0	5.0	5.642857142857143
what is the best body recomposition app for men?	0	0	0	14	11	3	0.0	0.0	6.571428571428571	8.09090909090909
what is the ideal shoulder width to waist ratio	0	0	0	18	0	18	0.0	0.0	11.944444444444445	
what is the perfect size of a man	0	0	0	21	7	14	0.0	0.0	6.714285714285714	7.285714285714286
what's the average hip size for a woman	0	0	0	0	12	-12	0.0	0.0		3.0833333333333335
what's the average waist size for a woman	0	0	0	6	27	-21	0.0	0.0	10.333333333333334	9.296296296296296
when do newbie gains stop	0	0	0	6	10	-4	0.0	0.0	8.833333333333332	9.7
where can i measure my body fat	0	0	0	0	15	-15	0.0	0.0		25.0
which app has the best before-and-after transformations for men?	0	0	0	12	15	-3	0.0	0.0	1.5	3.2666666666666666
which app has the best before-and-after transformations for women?	0	0	0	13	15	-2	0.0	0.0	2.6153846153846154	2.466666666666667
which online coaching fitness platforms track body measurements using photo ai for progress reports?	0	0	0	13	12	1	0.0	0.0	6.230769230769231	5.833333333333333
which personal training app is best for body recomposition?	0	0	0	13	8	5	0.0	0.0	6.846153846153846	8.625
why am i heavier than i look	0	0	0	0	14	-14	0.0	0.0		6.357142857142857
why are my arms so skinny compared to the rest of my body	0	0	0	0	14	-14	0.0	0.0		4.214285714285714
why are you skinnier in the morning	0	0	0	0	11	-11	0.0	0.0		7.636363636363637
why do i look fat in pictures but not in the mirror	0	0	0	20	4	16	0.0	0.0	7.15	5.5
why do i look skinnier in the mirror than on camera	0	0	0	30	9	21	0.0	0.0	5.3	7.555555555555555
why do i look skinnier in the morning	0	0	0	0	17	-17	0.0	0.0		7.294117647058823
why do i look skinnier on camera than in the mirror	0	0	0	15	13	2	0.0	0.0	4.4	6.923076923076923
why do i look smaller in pictures	0	0	0	11	2	9	0.0	0.0	5.909090909090909	6.5
why do i weigh more than i look	0	1	-1	0	43	-43	0.0	0.023255813953488372		6.511627906976744
why do my muscles look smaller on camera	0	0	0	10	6	4	0.0	0.0	6.2	6.0
why does my face look fat in pictures but not in the mirror	0	0	0	10	9	1	0.0	0.0	9.6	8.0
withings body scan	0	0	0	6	24	-18	0.0	0.0	9.333333333333334	13.75
withings body scan review	0	0	0	21	7	14	0.0	0.0	22.333333333333332	19.428571428571427
withings vs inbody	0	0	0	12	11	1	0.0	0.0	11.333333333333334	14.363636363636363
women waist size chart	0	0	0	2	10	-8	0.0	0.0	47.5	36.0
yes	0	0	0	11	11	0	0.0	0.0	3.4545454545454546	5.2727272727272725
zero tracking photo app	0	0	0	10	14	-4	0.0	0.0	11.0	11.928571428571429
zozofit	0	1	-1	11	11	0	0.0	0.09090909090909091	2.0	2.0
